booking_id,lead_time,market_segment_type,no_of_special_requests,avg_price_per_room,no_of_adults,no_of_weekend_nights,arrival_date,required_car_parking_space,no_of_week_nights,booking_status,rebooked
INNHG_101034,0.0,Online,0,85.03,1,1,01-01-2021,0,0,Not Canceled,
INNHG_101035,34.0,Online,2,125.1,2,2,01-01-2021,0,0,Not Canceled,
INNHG_101036,24.0,Online,1,71.69,2,2,01-01-2021,0,0,Not Canceled,
INNHG_101037,23.0,Online,0,84.7,1,2,01-01-2021,0,0,Not Canceled,
INNHG_101038,,Online,1,149.4,2,2,01-01-2021,0,3,Canceled,No
INNHG_101039,10.0,Online,2,164.0,2,2,01-01-2021,0,1,Not Canceled,
INNHG_101040,,Online,0,,2,2,01-01-2021,0,0,Not Canceled,
INNHG_101041,21.0,Online,2,98.0,2,2,01-01-2021,1,0,Not Canceled,
INNHG_101042,,Offline,1,105.0,2,2,01-01-2021,0,0,Not Canceled,
INNHG_101043,120.0,Online,1,129.81,3,2,01-01-2021,0,5,Not Canceled,
INNHG_101044,0.0,Online,1,155.0,2,2,01-01-2021,0,0,Not Canceled,
INNHG_101045,48.0,Offline,0,85.5,2,2,01-01-2021,0,0,Not Canceled,
INNHG_101046,62.0,Online,0,135.9,2,2,01-01-2021,0,1,Canceled,No
INNHG_101047,4.0,Online,0,110.0,1,2,01-01-2021,0,1,Not Canceled,
INNHG_101048,20.0,Offline,0,85.0,2,2,01-01-2021,0,1,Not Canceled,
INNHG_101049,36.0,Online,0,110.0,1,2,01-01-2021,0,3,Not Canceled,
INNHG_101050,,Online,0,130.0,2,2,01-01-2021,0,0,Canceled,No
INNHG_101051,208.0,Online,0,,2,2,01-01-2021,0,1,Canceled,No
INNHG_101052,19.0,Offline,0,107.0,2,2,01-01-2021,0,1,Not Canceled,
INNHG_101053,13.0,Online,1,99.0,1,2,01-01-2021,0,0,Not Canceled,
INNHG_101054,23.0,Online,2,100.1,2,2,01-01-2021,0,0,Not Canceled,
INNHG_101055,55.0,Online,0,106.24,2,2,01-01-2021,0,3,Not Canceled,
INNHG_101056,3.0,Online,1,179.71,1,2,01-01-2021,0,5,Canceled,No
INNHG_101057,30.0,Online,1,149.4,2,1,01-01-2021,0,0,Not Canceled,
INNHG_101058,,Online,2,135.9,2,2,01-01-2021,0,1,Not Canceled,
INNHG_101059,27.0,Online,2,110.0,2,2,01-01-2021,0,0,Not Canceled,
INNHG_101060,196.0,Online,0,116.1,2,2,01-01-2021,0,0,Canceled,No
INNHG_101061,41.0,Offline,0,85.5,2,2,01-01-2021,0,1,Not Canceled,
INNHG_101062,12.0,Offline,1,85.0,1,1,01-01-2021,0,0,Not Canceled,
INNHG_101063,70.0,Online,3,,1,2,01-01-2021,0,4,Not Canceled,
INNHG_101064,14.0,Online,2,89.0,1,1,01-01-2021,0,0,Not Canceled,
INNHG_101065,20.0,Online,2,89.0,2,2,01-01-2021,0,0,Not Canceled,
INNHG_101066,129.0,Offline,0,80.75,2,2,01-01-2021,0,1,Not Canceled,
INNHG_101067,51.0,Online,2,207.9,2,2,01-01-2021,0,2,Not Canceled,
INNHG_101068,53.0,Online,0,,2,2,01-01-2021,0,2,Canceled,Yes
INNHG_101069,,Online,1,,3,2,01-01-2021,0,0,Not Canceled,
INNHG_101070,31.0,Online,2,125.1,2,1,01-01-2021,0,0,Not Canceled,
INNHG_101071,175.0,Online,1,152.15,2,2,01-01-2021,0,2,Canceled,No
INNHG_101072,24.0,Online,1,142.0,2,2,01-01-2021,1,0,Not Canceled,
INNHG_101073,,Online,1,137.57,2,2,01-01-2021,0,1,Not Canceled,
INNHG_101074,,Online,1,149.4,2,2,01-01-2021,0,3,Not Canceled,
INNHG_101075,120.0,Online,1,94.81,2,2,01-01-2021,0,5,Not Canceled,
INNHG_101076,2.0,Online,1,175.0,2,1,01-01-2021,0,0,Not Canceled,
INNHG_101077,16.0,Online,1,89.0,2,2,01-01-2021,0,0,Not Canceled,
INNHG_101078,15.0,Online,1,109.0,2,2,01-01-2021,0,0,Not Canceled,
INNHG_101079,12.0,Offline,1,85.0,1,1,01-01-2021,0,0,Not Canceled,
INNHG_101080,231.0,Online,1,,2,2,01-01-2021,0,2,Canceled,No
INNHG_101081,14.0,Online,3,98.0,2,2,01-01-2021,0,0,Not Canceled,
INNHG_101082,28.0,Online,1,139.0,2,1,01-01-2021,0,0,Not Canceled,
INNHG_101083,138.0,Offline,0,80.75,2,2,01-01-2021,0,1,Not Canceled,
INNHG_101084,56.0,Online,0,125.1,2,2,01-01-2021,0,1,Canceled,No
INNHG_101085,7.0,Online,1,144.14,2,2,01-01-2021,0,2,Canceled,No
INNHG_101086,79.0,Online,0,,3,2,01-01-2021,0,0,Canceled,No
INNHG_101087,25.0,Online,1,110.0,2,2,01-01-2021,0,0,Not Canceled,
INNHG_101088,19.0,Online,0,87.2,2,2,01-01-2021,0,0,Not Canceled,
INNHG_101089,9.0,Online,2,0.0,2,1,01-01-2021,0,0,Not Canceled,
INNHG_101090,,Online,1,118.0,2,2,01-01-2021,0,0,Not Canceled,
INNHG_101091,,Online,1,74.1,2,2,01-01-2021,0,0,Not Canceled,
INNHG_101092,10.0,Online,0,149.0,1,2,01-01-2021,0,0,Canceled,No
INNHG_101093,62.0,Online,1,152.1,2,2,01-01-2021,0,0,Not Canceled,
INNHG_101094,,Offline,1,85.0,1,1,01-01-2021,0,0,Not Canceled,
INNHG_101095,14.0,Online,2,149.67,2,2,01-01-2021,1,1,Not Canceled,
INNHG_101096,122.0,Offline,0,80.75,2,2,01-01-2021,0,4,Not Canceled,
INNHG_101097,36.0,Online,0,110.0,1,2,01-01-2021,0,3,Not Canceled,
INNHG_101098,231.0,Online,1,100.3,2,2,01-01-2021,0,2,Canceled,No
INNHG_101099,44.0,Online,0,152.1,2,2,01-01-2021,0,1,Canceled,No
INNHG_101100,,Online,2,89.0,2,2,01-01-2021,0,0,Not Canceled,
INNHG_101101,118.0,Offline,0,105.4,3,2,01-01-2021,0,1,Not Canceled,
INNHG_101102,3.0,Online,3,155.0,2,1,01-01-2021,0,0,Not Canceled,
INNHG_101103,20.0,Online,0,89.0,2,1,01-01-2021,0,0,Not Canceled,
INNHG_101104,175.0,Online,0,126.9,2,1,01-01-2021,0,0,Canceled,No
INNHG_101105,22.0,Online,1,89.0,2,1,01-01-2021,0,0,Not Canceled,
INNHG_101106,8.0,Online,0,95.2,2,2,01-01-2021,0,0,Not Canceled,
INNHG_101107,113.0,Online,1,129.6,2,2,01-01-2021,0,3,Not Canceled,
INNHG_101108,45.0,Online,2,162.79,2,2,01-01-2021,0,2,Not Canceled,
INNHG_101109,61.0,Online,1,,2,2,01-01-2021,0,3,Not Canceled,
INNHG_101110,38.0,Online,1,207.9,2,2,01-01-2021,0,3,Canceled,Yes
INNHG_101111,,Online,1,149.0,1,1,01-01-2021,0,0,Not Canceled,
INNHG_101112,,Online,1,99.0,2,1,01-01-2021,0,0,Canceled,No
INNHG_101113,,Online,2,89.0,2,1,01-01-2021,0,0,Not Canceled,
INNHG_101114,,Offline,0,95.0,2,2,01-01-2021,0,1,Not Canceled,
INNHG_101115,19.0,Online,1,65.1,2,2,01-01-2021,0,0,Canceled,No
INNHG_101116,307.0,Online,0,108.0,2,2,01-01-2021,0,4,Canceled,No
INNHG_101117,32.0,Online,0,149.4,2,2,01-01-2021,0,1,Canceled,No
INNHG_101118,11.0,Offline,0,95.0,2,2,01-01-2021,0,1,Not Canceled,
INNHG_101119,24.0,Online,1,0.0,2,1,01-01-2021,0,0,Not Canceled,
INNHG_101120,31.0,Offline,0,85.5,2,2,01-01-2021,0,1,Canceled,No
INNHG_101121,208.0,Online,0,116.1,2,2,01-01-2021,0,1,Canceled,No
INNHG_101122,23.0,Online,2,89.0,2,2,01-01-2021,0,0,Not Canceled,
INNHG_101123,12.0,Offline,1,85.0,1,1,01-01-2021,0,0,Not Canceled,
INNHG_101124,71.0,Online,0,168.3,3,1,01-01-2021,0,0,Not Canceled,
INNHG_101125,53.0,Online,0,,1,1,01-01-2021,0,0,Not Canceled,
INNHG_101126,47.0,Online,1,125.1,2,2,01-01-2021,0,0,Not Canceled,
INNHG_101127,,Online,1,135.9,2,2,01-01-2021,0,1,Not Canceled,
INNHG_101128,47.0,Online,1,168.3,3,2,01-01-2021,0,1,Not Canceled,
INNHG_101129,16.0,Offline,0,95.0,2,2,01-01-2021,0,1,Not Canceled,
INNHG_101130,111.0,Online,2,,2,2,01-01-2021,0,2,Canceled,No
INNHG_101131,10.0,Offline,0,95.0,2,2,01-01-2021,0,1,Not Canceled,
INNHG_101132,20.0,Online,0,68.53,2,1,01-01-2021,0,0,Canceled,No
INNHG_101133,7.0,Online,1,,2,2,01-01-2021,0,0,Not Canceled,
INNHG_101134,51.0,Offline,0,85.5,2,2,01-01-2021,0,1,Not Canceled,
INNHG_101135,8.0,Online,0,129.0,1,1,01-01-2021,0,0,Not Canceled,
INNHG_101136,69.0,Online,0,135.9,2,2,01-01-2021,0,0,Canceled,Yes
INNHG_101137,,Online,1,,2,2,01-01-2021,0,0,Not Canceled,
INNHG_101138,11.0,Online,0,145.0,1,2,05-01-2021,0,6,Canceled,No
INNHG_101139,1.0,Online,1,104.72,1,0,05-01-2021,0,1,Not Canceled,
INNHG_101140,145.0,Online,1,0.0,2,0,05-01-2021,0,0,Not Canceled,
INNHG_101141,21.0,Online,0,84.0,1,0,05-01-2021,0,1,Not Canceled,
INNHG_101142,0.0,Online,1,135.0,1,0,05-01-2021,0,1,Not Canceled,
INNHG_101143,205.0,Online,1,90.95,1,2,05-01-2021,0,8,Canceled,Yes
INNHG_101144,,Online,1,92.94,2,1,05-01-2021,0,5,Not Canceled,
